player_id,name,position,position_group,apps,minutes,overall,strengths,weaknesses,verdict,subscores.Atac,subscores.Creativitate,subscores.Pasare,subscores.Apărare,subscores.Pressing,subscores.Dribling,subscores.Fizic,per90.goals,per90.assists,per90.xg,per90.xa,per90.key_passes,per90.prog_passes,per90.pressing_duels,per90.counterpress_rec,per90.opp_half_rec,per90.interceptions,per90.dribbles,per90.progressive_runs,per90.touches_box,pct.pass_accuracy,pct.dribble_success,pct.def_duels_won,pct.aerial_won,pct.long_pass_acc,pct.cross_acc,raw.goals,raw.assists,raw.shots,raw.shotsOnTarget,raw.xgShot,raw.xgAssist,raw.yellowCards,raw.redCards,raw.fouls,raw.foulsSuffered,raw.passes,raw.successfulPasses,raw.longPasses,raw.successfulLongPasses,raw.keyPasses,raw.progressivePasses,raw.successfulProgressivePasses,raw.crosses,raw.successfulCrosses,raw.dribbles,raw.successfulDribbles,raw.interceptions,raw.clearances,raw.defensiveDuels,raw.defensiveDuelsWon,raw.aerialDuels,raw.aerialDuelsWon,raw.pressingDuels,raw.pressingDuelsWon,raw.counterpressingRecoveries,raw.opponentHalfRecoveries,raw.gkSaves,raw.gkConcededGoals,raw.gkCleanSheets,raw.gkShotsAgainst
445824,A. Fábry,amf,MID,20,890,66.9,"['Creativitate', 'Dribling', 'Pasare']","['Fizic', 'Atac']","Decent, îmbunătățibil în zone specifice.",35.7,90.5,82.9,41.9,77.7,87.3,12.5,0.0,0.3,0.09,0.26,0.4,3.64,0.91,2.53,1.82,2.83,2.53,2.12,1.92,78.9,68.0,20.4,28.0,62.2,25.0,0,3,17,5,0.9200000000000002,2.5900000000000003,1,0,12,6,308,243,37,23,4,45,36,24,6,25,17,28,9,54,11,25,7,9,0,25,18,0,0,0,0
778883,A. Gheorghiță,lamf,MID,13,424,65.0,"['Pressing', 'Dribling', 'Creativitate']",['Fizic'],"Decent, îmbunătățibil în zone specifice.",60.4,69.4,68.1,44.2,90.5,89.0,8.3,0.21,0.21,0.23,0.07,0.64,1.49,1.7,2.97,1.7,3.61,2.97,1.49,2.33,77.7,64.3,31.2,29.6,33.3,20.0,1,1,7,3,1.07,0.33999999999999997,1,0,6,6,121,94,3,1,3,15,7,5,1,14,9,17,5,16,5,27,8,8,0,14,8,0,0,0,0
83590,A. Chipciu,lb,DEF,31,2889,56.5,"['Dribling', 'Pasare', 'Pressing']","['Atac', 'Fizic']","Decent, îmbunătățibil în zone specifice.",20.1,43.2,82.0,47.5,65.8,88.2,37.3,0.0,0.03,0.05,0.07,0.34,7.82,0.12,3.02,2.09,4.36,2.24,2.87,0.97,80.1,73.6,23.4,38.6,56.4,37.5,0,1,24,8,1.4500000000000002,2.1399999999999997,7,0,40,13,1517,1215,234,132,11,347,251,56,21,72,53,140,59,218,51,44,17,4,0,97,67,0,0,0,0
541971,J. Stanojev,rw,ATT,11,492,67.4,"['Pasare', 'Dribling', 'Creativitate']",['Fizic'],"Decent, îmbunătățibil în zone specifice.",66.3,75.2,90.3,40.8,70.4,79.7,23.7,0.37,0.37,0.16,0.04,0.55,3.48,0.37,2.93,2.2,2.74,2.74,1.28,2.38,83.2,60.0,17.2,23.1,75.0,38.5,2,2,10,3,0.8700000000000001,0.21000000000000002,0,0,2,1,149,124,12,9,3,29,19,13,5,15,9,15,4,29,5,13,3,2,0,16,12,0,0,0,0
270356,I. Cristea,rcb,DEF,30,2485,57.9,"['Pasare', 'Fizic']","['Atac', 'Creativitate']","Decent, îmbunătățibil în zone specifice.",14.2,31.8,90.0,51.9,52.0,44.6,73.1,0.04,0.07,0.05,0.03,0.14,5.43,0.04,4.35,1.09,4.16,0.11,0.62,0.58,87.6,66.7,24.0,53.8,50.0,50.0,1,2,9,3,1.29,0.75,4,1,25,4,1505,1319,194,97,4,246,150,6,3,3,2,115,71,150,36,91,49,1,0,120,30,0,0,0,0
220694,D. Mikanović,rb,DEF,29,2566,57.8,"['Pasare', 'Dribling', 'Pressing']",['Atac'],"Decent, îmbunătățibil în zone specifice.",17.1,52.6,75.3,53.4,65.7,68.3,47.8,0.07,0.11,0.02,0.1,0.32,5.23,0.25,2.91,1.82,4.52,0.95,1.26,0.6,79.1,70.4,16.8,45.2,44.4,36.8,2,3,10,5,0.5700000000000001,2.75,4,0,24,15,980,775,144,64,9,220,149,57,21,27,19,129,80,208,35,42,19,7,0,83,52,0,0,0,0
346908,A. Murgia,rdmf,MID,19,1004,53.0,"['Pasare', 'Pressing']","['Creativitate', 'Atac', 'Fizic']",Sub medie pentru poziție. Candidat înlocuire.,20.8,19.4,93.4,40.2,84.9,61.9,33.3,0.09,0.0,0.09,0.0,0.09,3.5,1.17,4.75,2.6,3.23,0.36,1.08,0.81,89.5,75.0,20.0,50.0,51.6,0.0,1,0,6,1,0.9800000000000001,0.01,2,1,9,20,573,513,31,16,1,56,39,2,0,4,3,36,7,65,13,12,6,13,0,53,29,0,0,0,0
1047336,A. Chintes,rb,DEF,10,440,54.9,"['Dribling', 'Pasare', 'Pressing']","['Atac', 'Creativitate']",Sub medie pentru poziție. Candidat înlocuire.,1.5,30.5,75.2,48.8,67.3,88.1,41.7,0.0,0.0,0.0,0.05,0.2,5.52,0.2,3.89,2.05,6.55,2.86,1.84,0.2,75.1,64.3,16.1,50.0,57.1,20.0,0,0,0,0,0.0,0.24000000000000002,0,0,3,5,197,148,28,16,1,45,27,15,3,14,9,32,10,31,5,10,5,1,0,19,10,0,0,0,0
577452,D. Codrea,rdmf,MID,28,1589,50.3,"['Pasare', 'Pressing']","['Atac', 'Creativitate']",Sub medie pentru poziție. Candidat înlocuire.,10.7,18.7,86.2,55.6,74.0,48.0,44.8,0.0,0.0,0.02,0.01,0.06,4.02,0.57,4.42,2.21,5.78,0.23,0.45,0.68,85.4,75.0,30.9,56.9,48.8,0.0,0,0,9,2,0.42000000000000004,0.15,4,0,23,16,789,674,82,40,1,113,71,1,0,4,3,102,54,110,34,51,29,10,0,78,39,0,0,0,0
619309,O. Mendy,lamf,MID,11,753,74.8,"['Dribling', 'Atac', 'Fizic']",[],Jucător de bază. Performant pentru nivel.,88.9,75.2,80.4,42.9,68.6,94.0,86.1,0.6,0.36,0.32,0.04,0.6,1.91,1.08,1.08,1.67,3.23,3.71,2.15,3.59,79.2,71.0,23.1,71.4,55.6,33.3,5,3,17,13,2.6999999999999997,0.37000000000000005,2,0,6,28,154,122,9,5,5,22,16,12,4,31,22,27,9,26,6,14,10,9,0,9,14,0,0,0,0
338220,Miguel Silva,lb,DEF,17,817,57.0,"['Dribling', 'Pressing', 'Pasare']","['Atac', 'Fizic']","Decent, îmbunătățibil în zone specifice.",28.5,41.7,70.7,51.0,73.6,90.3,35.2,0.11,0.0,0.05,0.09,0.33,5.51,0.55,2.75,2.42,4.52,2.64,2.75,1.32,76.6,70.8,27.5,43.6,42.2,25.0,1,0,3,2,0.45,0.8500000000000001,0,0,11,5,397,304,45,19,3,85,50,24,6,24,17,41,22,80,22,39,17,5,0,25,22,0,0,0,0
526387,I. Macalou,ramf,MID,32,2325,68.6,"['Creativitate', 'Dribling', 'Atac']",['Apărare'],Jucător de bază. Performant pentru nivel.,68.0,99.1,64.3,31.5,64.2,91.2,52.7,0.23,0.5,0.25,0.29,0.81,3.45,0.31,1.59,1.63,1.94,7.82,3.56,3.75,70.6,66.8,13.8,51.0,47.1,31.2,6,13,56,22,6.419999999999999,7.390000000000001,1,0,33,11,625,441,51,24,21,107,89,93,29,202,135,50,14,87,12,49,25,8,0,41,42,0,0,0,0
239290,E. Capradossi,lcb,DEF,12,982,57.5,"['Pasare', 'Fizic']","['Creativitate', 'Dribling', 'Atac']","Decent, îmbunătățibil în zone specifice.",32.9,14.3,93.2,54.5,57.6,29.2,68.7,0.09,0.0,0.16,0.0,0.0,2.29,0.0,3.39,1.56,4.12,0.18,0.37,0.92,87.6,50.0,23.0,51.2,57.4,100.0,1,0,7,3,1.76,0.0,1,0,7,4,491,430,47,27,0,62,25,1,1,2,1,45,34,61,14,41,21,0,0,37,17,0,0,0,0
462140,J. Cissé,rcb,DEF,19,1546,59.6,"['Fizic', 'Pasare']","['Atac', 'Creativitate']","Decent, îmbunătățibil în zone specifice.",6.9,14.3,91.2,54.5,45.9,46.8,92.9,0.0,0.0,0.04,0.0,0.0,3.61,0.0,3.96,0.7,4.48,0.17,0.7,0.58,88.9,66.7,23.9,65.7,48.6,100.0,0,0,6,0,0.6900000000000001,0.0,3,0,9,3,812,722,70,34,0,108,62,1,1,3,2,77,53,67,16,70,46,0,0,68,12,0,0,0,0
759616,O. El Sawy,lamf,MID,21,1214,64.1,"['Dribling', 'Pressing', 'Pasare']",['Fizic'],"Decent, îmbunătățibil în zone specifice.",53.2,52.4,81.0,40.9,86.5,91.6,28.1,0.07,0.15,0.23,0.07,0.3,2.15,1.26,2.3,2.3,3.34,3.19,1.78,2.52,78.5,67.4,9.4,18.8,59.1,43.8,1,2,23,6,3.1600000000000006,0.89,2,0,23,15,340,267,22,13,4,49,29,16,7,43,29,45,10,96,9,16,3,17,0,31,31,0,0,0,0
169037,O. Bic,ldmf,MID,32,2403,60.5,"['Pasare', 'Pressing', 'Dribling']","['Atac', 'Fizic']","Decent, îmbunătățibil în zone specifice.",14.5,40.9,98.4,42.2,97.6,70.3,31.2,0.04,0.04,0.04,0.06,0.3,5.13,1.87,5.62,3.93,3.93,1.31,1.24,0.9,88.9,68.6,25.8,37.5,65.0,32.4,1,1,18,2,1.11,1.7200000000000002,7,1,27,40,1338,1189,80,52,8,177,137,34,11,35,24,105,26,217,56,64,24,50,0,150,105,0,0,0,0
441683,G. Simion,rdmf,MID,20,1272,50.4,"['Pasare', 'Pressing']","['Atac', 'Dribling', 'Creativitate']",Sub medie pentru poziție. Candidat înlocuire.,6.6,29.9,97.6,45.4,79.1,27.0,37.5,0.0,0.07,0.02,0.01,0.14,3.75,0.85,3.75,3.04,3.04,0.28,0.21,0.35,90.8,50.0,21.5,45.0,59.5,25.0,0,1,12,1,0.31000000000000005,0.15,4,0,20,1,543,493,42,25,2,71,53,4,1,4,2,43,21,79,17,20,9,12,0,53,43,0,0,0,0
532568,V. Postolachi,lw,ATT,14,825,60.3,"['Dribling', 'Pressing', 'Pasare']","['Apărare', 'Fizic']","Decent, îmbunătățibil în zone specifice.",51.8,55.1,67.6,26.2,78.4,89.1,36.7,0.11,0.11,0.15,0.12,0.33,1.75,1.42,1.31,1.53,1.53,3.6,1.53,3.05,70.1,63.6,20.8,52.0,56.0,9.1,1,1,18,3,1.36,1.14,0,0,3,15,184,129,25,14,3,26,16,11,1,33,21,14,6,24,5,50,26,13,0,12,14,0,0,0,0
748513,A. Trică,cf,ATT,21,708,47.5,"['Pressing', 'Fizic', 'Pasare']","['Creativitate', 'Apărare', 'Atac']",Sub medie pentru poziție. Candidat înlocuire.,31.1,18.5,65.5,23.5,93.6,46.8,78.9,0.13,0.13,0.04,0.0,0.0,0.64,2.03,1.53,1.53,1.4,0.51,0.25,2.03,77.9,75.0,7.4,57.4,75.0,100.0,1,1,4,1,0.32,0.02,2,0,13,11,122,95,4,3,0,8,5,1,1,4,3,11,4,27,2,68,39,16,0,12,12,0,0,0,0
506853,M. Drammeh,rcmf,MID,21,1471,71.1,"['Dribling', 'Pasare', 'Fizic']",['Apărare'],Jucător de bază. Performant pentru nivel.,61.4,59.4,90.3,39.7,74.7,100.0,79.2,0.31,0.12,0.17,0.06,0.49,3.79,0.61,3.61,3.18,3.0,3.12,2.88,2.14,87.9,80.4,18.0,74.1,50.0,25.0,5,2,32,10,2.74,0.95,4,0,25,33,628,552,24,12,8,77,62,12,3,51,41,49,9,89,16,27,20,10,0,59,52,0,0,0,0
560364,J. Lukić,cf,ATT,30,2557,74.2,"['Pressing', 'Atac', 'Dribling']",['Creativitate'],Jucător de bază. Performant pentru nivel.,95.1,38.5,77.7,41.4,100.0,88.2,47.6,0.63,0.07,0.42,0.06,0.21,1.48,3.38,2.25,2.25,2.29,2.39,1.48,4.33,75.3,72.1,23.8,53.0,63.0,21.1,18,2,58,28,11.83,1.62,7,0,37,36,611,460,27,17,6,54,42,19,4,68,49,65,38,101,24,215,114,96,0,64,64,0,0,0,0
227952,A. Artean,dmf,MID,13,835,53.4,"['Pasare', 'Pressing']","['Atac', 'Fizic', 'Creativitate']",Sub medie pentru poziție. Candidat înlocuire.,9.2,36.4,98.1,49.9,67.6,54.0,28.9,0.0,0.0,0.04,0.04,0.32,5.07,0.22,4.74,3.45,4.74,0.43,0.65,0.32,90.9,75.0,35.0,47.4,60.7,0.0,0,0,4,1,0.33999999999999997,0.39,1,0,6,2,441,401,28,17,3,58,47,2,0,4,3,44,12,60,21,19,9,2,0,44,32,0,0,0,0
779379,Ş. Lefter,gk,GK,10,983,57.2,"['Pasare', 'Fizic']","['Atac', 'Dribling', 'Pressing']","Decent, îmbunătățibil în zone specifice.",0.0,14.3,100.0,41.7,6.5,0.0,66.7,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.27,0.0,1.28,0.0,0.0,0.0,86.0,0.0,0.0,100.0,69.7,0.0,0,0,0,0,0.0,0.0,1,0,0,0,171,147,66,46,0,51,36,0,0,0,0,14,10,0,0,1,1,0,0,3,0,33,13,1,46
240507,E. Gertmonas,gk,GK,22,2119,72.4,"['Pasare', 'Apărare', 'Fizic']","['Atac', 'Dribling', 'Pressing']",Jucător de bază. Performant pentru nivel.,0.0,14.3,100.0,78.9,13.3,0.0,66.7,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.55,0.0,0.85,0.0,0.0,0.0,89.7,0.0,0.0,100.0,69.5,0.0,0,0,0,0,0.0,0.0,3,0,0,2,496,445,141,98,0,122,87,0,0,0,0,20,9,1,0,11,11,0,0,13,0,74,16,11,90
630268,A. Coubis,lcb,DEF,11,1008,63.0,"['Pasare', 'Fizic', 'Dribling']","['Atac', 'Creativitate']","Decent, îmbunătățibil în zone specifice.",14.8,29.9,99.2,54.5,53.4,65.0,78.6,0.09,0.09,0.05,0.02,0.09,5.8,0.0,4.55,1.25,4.73,0.36,1.07,0.36,89.4,100.0,22.2,57.1,69.4,50.0,1,1,2,1,0.6,0.17,0,0,6,7,549,491,62,43,1,95,65,2,1,4,4,53,35,36,8,42,24,0,0,51,14,0,0,0,0
83838,D. Nistor,amf,MID,26,1686,73.7,"['Creativitate', 'Pressing', 'Pasare']",['Apărare'],Jucător de bază. Performant pentru nivel.,68.8,94.1,93.5,28.9,93.6,56.4,56.7,0.37,0.37,0.25,0.25,0.48,5.23,1.65,2.83,2.24,1.92,1.07,1.12,1.98,85.4,55.0,19.6,46.2,66.7,45.7,7,7,35,14,4.6499999999999995,4.660000000000001,1,0,2,7,859,734,69,46,9,116,98,35,16,20,11,36,3,51,10,13,6,31,0,53,42,0,0,0,0
